Credit_total	Sexe	Education	Statut_marital	Age	Statut_mois_1	Statut_mois_2	Statut_mois_3	Statut_mois_4	Statut_mois_5	Statut_mois_6	Montant_mois_1	Montant_mois_2	Montant_mois_3	Montant_mois_4	Montant_mois_5	Montant_mois_6	Versement_mois_1	Versement_mois_2	Versement_mois_3	Versement_mois_4	Versement_mois_5	Versement_mois_6	Defaut_de_paiement
4762	1	2	1	41	0	0	0	0	0	0	4614	4694	4643	4690	4469	4619	238	167	190	167	345	133	0
3333	2	2	1	48	0	0	0	0	0	0	2883	2930	3018	3030	3083	3016	105	145	108	112	113	116	0
4286	2	1	1	40	-1	-1	-1	-1	-1	-1	360	144	35	52	63	23	144	78	52	63	23	58	0
4048	1	2	2	31	-1	0	0	0	0	0	151	179	203	223	228	236	30	31	28	8	12	15	0
1905	2	2	2	24	0	0	0	0	0	0	1789	1842	1865	1756	944	939	83	119	50	29	34	21	0
714	1	2	2	27	1	2	0	0	2	2	531	515	547	595	579	642	0	40	64	0	77	0	0
4762	1	1	1	46	-1	-1	-1	-1	-1	-1	688	157	45	205	84	1026	157	45	205	85	1026	0	0
3571	2	2	1	37	-1	0	0	0	0	0	2487	2427	2459	2395	2338	2415	143	109	119	119	119	98	0
7381	1	3	1	43	-1	-1	-1	0	-1	-1	103	15	249	241	14	43	15	249	5	26	43	5	0
476	2	1	2	29	1	-1	-1	-1	-1	-1	0	59	94	32	14	0	59	94	33	14	0	0	0
476	1	2	2	24	1	3	2	2	3	2	184	178	171	199	189	183	0	0	31	0	0	24	0
3571	2	3	1	57	-1	-1	-1	-1	-1	-1	131	218	413	154	292	194	218	413	154	292	194	125	0
11905	2	1	2	28	2	0	0	2	0	0	2346	2430	2659	1859	1866	1926	143	313	0	71	119	238	1
1429	1	3	1	31	1	2	0	0	0	0	1650	1430	1306	925	932	930	0	55	33	34	34	33	1
1190	1	1	2	44	0	0	0	0	0	0	1230	1197	1174	1123	1192	1201	46	38	36	310	37	62	0
2857	2	2	1	34	0	0	0	0	0	0	2854	2515	1742	1808	1835	1877	108	64	95	71	71	95	0
1429	1	1	2	25	0	0	0	0	0	0	1401	1268	917	944	943	932	48	45	48	36	45	48	0
3571	1	2	1	39	2	2	0	0	0	2	2797	2718	2774	2830	3002	2950	0	101	102	219	0	111	1
4762	2	2	2	46	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	14	0
8571	2	1	2	29	-1	-1	-1	-1	-1	-1	21	251	46	63	41	98	251	48	64	48	98	98	0
3810	1	2	1	50	1	2	2	2	0	0	3400	3491	3546	3431	1156	1185	183	145	0	48	48	48	1
5476	2	1	2	36	0	0	0	0	0	0	2659	2806	2898	2852	2755	2648	190	143	119	119	119	119	0
1905	2	2	1	29	2	2	2	2	2	2	1730	1766	1725	1824	1855	1810	79	0	143	74	0	100	0
1190	2	3	1	31	0	0	0	0	0	0	708	722	639	654	650	663	36	36	36	24	23	24	0
3810	2	1	2	26	-1	0	0	0	0	-2	3749	3692	3263	1687	0	0	141	119	34	0	0	0	0
3810	1	1	2	29	-1	-1	-2	-1	0	0	117	0	0	75	75	0	0	0	75	0	0	107	0
11429	2	1	1	52	-2	-2	-2	-2	-2	-2	2507	2062	448	830	1760	1141	2075	448	830	1760	1141	1344	0
1190	1	2	1	60	0	0	0	0	0	0	1103	980	601	618	630	643	33	41	34	23	23	23	0
1667	2	2	2	26	2	2	2	0	0	0	1711	1752	1711	1632	1167	1166	83	0	74	45	48	44	1
1190	2	3	1	36	0	-1	0	0	0	0	90	41	618	410	374	378	41	595	18	14	19	45	0
9286	2	1	2	27	0	0	0	0	0	0	7259	7143	7153	6973	6973	6710	310	253	239	262	250	167	1
4286	2	2	2	29	0	0	2	0	0	0	2035	2275	2214	2227	1589	1016	274	0	56	44	95	0	0
1905	2	3	2	28	0	0	0	0	0	0	1671	1712	1661	1690	1725	1659	83	71	60	60	60	60	0
238	1	1	2	22	0	-1	-1	-1	-1	-1	35	1	22	8	2	0	1	22	8	2	0	24	0
1905	2	3	1	47	-1	-1	2	-1	-1	-1	9	19	9	9	9	9	19	9	9	9	9	57	1
4048	1	1	1	35	0	0	0	0	0	0	1219	917	826	727	1453	565	119	48	71	24	143	208	0
238	1	2	2	30	0	0	0	0	0	2	193	208	219	233	240	233	31	28	27	29	0	10	1
1190	1	2	2	33	2	0	0	0	0	0	727	705	526	541	553	564	41	36	24	24	24	17	1
714	1	3	1	58	0	0	0	0	0	0	456	480	505	512	519	534	39	40	22	19	24	47	0
4286	2	1	2	28	2	2	2	2	0	0	50	90	133	112	206	185	41	48	1	119	24	119	0
3095	1	2	2	27	0	0	0	0	0	0	2014	2054	2097	2139	2182	2210	73	77	77	78	84	82	0
1190	2	2	1	37	0	0	0	0	0	-1	580	555	522	493	573	119	33	33	29	119	119	2	0
2619	2	1	2	31	2	2	2	2	2	2	2185	2236	2254	2312	2336	2390	108	75	117	83	95	93	1
5238	2	2	1	45	0	0	0	0	0	0	4858	4952	5098	5160	4631	4720	181	238	197	171	179	202	0
1190	1	2	1	28	0	0	-1	-1	-1	-1	498	698	60	188	345	50	240	60	189	345	50	72	0
8571	1	2	1	57	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	1
714	1	1	2	28	0	0	0	0	0	0	696	700	711	714	699	696	48	48	48	29	36	71	0
6429	2	1	1	37	-1	-1	0	0	0	0	30	1706	1649	1615	1625	1731	1755	75	71	95	190	71	0
11905	1	1	2	38	-2	-2	-2	-2	-2	-2	0	0	0	193	0	0	0	0	193	0	0	0	0
1905	2	1	2	29	1	-1	-1	-2	-2	-2	0	1905	0	0	0	0	1905	0	0	0	0	0	0
5476	2	1	1	39	1	-2	-1	-1	-1	-2	0	0	4	64	0	0	0	4	64	0	0	0	1
3810	2	3	1	34	-2	-2	-2	-2	-2	-2	17	14	29	17	15	16	14	29	17	16	16	0	0
1429	1	1	2	26	0	0	0	0	0	0	711	728	761	772	785	803	36	45	31	29	31	36	0
952	1	2	1	25	0	0	0	0	0	2	894	919	941	921	915	897	47	45	31	67	0	48	0
714	2	2	2	22	0	-1	2	-1	-1	-1	46	169	71	41	91	59	169	0	41	91	59	88	0
4762	2	2	2	30	-2	-1	-1	-2	-2	-2	9	140	9	9	9	9	140	9	9	9	9	28	0
5714	2	1	1	37	0	0	0	0	0	0	4298	4170	4207	3823	3589	3671	191	147	136	131	143	133	0
4286	2	2	1	32	0	0	0	0	2	0	3603	3405	3357	2046	1906	1844	143	143	191	0	71	71	0
476	1	1	1	52	0	-1	-1	-1	0	-1	475	9	9	19	19	248	9	9	19	0	248	0	0
1190	2	2	2	27	0	0	0	0	0	0	616	512	499	521	531	580	32	33	31	18	56	78	0
1190	1	1	2	25	1	-1	-1	-2	-2	-2	0	19	0	0	0	0	19	0	0	0	0	0	1
1190	1	2	1	30	0	0	0	0	0	0	334	355	174	159	117	144	27	25	4	4	48	2	0
714	2	2	1	52	2	2	2	2	2	2	440	486	494	503	515	527	60	24	24	24	24	0	1
1190	1	2	2	44	0	0	0	0	0	0	656	452	203	207	212	216	28	27	7	8	8	8	0
6429	1	1	1	51	-1	-1	-1	-1	-2	-2	476	50	309	0	0	0	50	311	0	0	0	0	1
714	2	1	1	38	2	0	0	0	0	0	597	630	644	658	680	321	43	48	33	31	17	24	0
1190	1	2	2	25	0	0	0	0	0	0	710	735	759	706	488	474	37	37	31	40	17	20	0
3571	1	2	1	48	0	0	0	0	0	0	2824	2883	2940	1593	1625	1659	118	118	91	58	60	60	0
1190	1	2	2	39	0	0	0	0	0	2	1143	1031	1061	1126	1200	564	48	54	95	95	0	0	0
4286	1	1	2	34	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
4048	2	2	2	24	0	0	0	0	0	0	455	344	3813	3829	3063	2965	71	3751	191	125	119	143	0
1429	2	2	2	43	1	2	0	0	3	2	1052	1029	1130	1303	1276	1302	0	119	193	0	51	0	1
1190	1	2	1	36	0	0	0	-2	-2	-2	1157	1203	0	0	0	0	71	0	0	0	0	0	0
3333	1	3	1	39	0	0	0	0	0	0	3260	3063	3029	2242	2281	2127	119	140	95	71	119	71	0
714	2	3	1	56	2	2	2	2	2	2	420	442	428	492	516	504	36	0	71	36	0	45	1
7143	2	1	1	38	-1	-1	-1	-1	-1	0	69	85	66	66	128	62	85	66	66	128	0	87	0
11905	2	1	1	47	0	0	0	0	0	0	1343	2634	2627	2928	2591	1668	1667	723	714	476	1242	476	0
476	2	3	1	43	0	0	0	0	0	0	356	762	408	428	441	363	38	40	36	24	24	42	0
2857	1	1	1	37	0	0	0	0	0	0	1627	1719	1889	1917	1927	1876	119	214	71	74	71	71	0
1667	1	1	2	29	-1	-1	0	-1	2	-1	56	341	313	94	46	23	357	95	95	0	24	24	0
2381	2	3	3	43	0	0	0	0	0	0	1483	1518	1534	917	940	968	59	45	33	38	48	36	0
7143	1	1	2	29	-2	-2	-2	-2	-2	-2	45	61	109	85	52	15	61	110	85	52	15	0	1
5714	2	2	2	30	0	0	0	0	0	0	2119	1694	1608	1529	1560	1567	73	57	55	55	57	60	0
4286	1	1	2	51	0	0	0	0	0	2	3198	2934	2824	2821	2856	2619	143	143	136	179	0	119	1
4762	2	1	2	30	-1	-1	-1	-1	-1	-1	114	49	142	44	39	14	49	142	44	39	14	129	0
714	2	2	2	31	3	2	2	2	2	0	692	674	708	695	669	653	0	45	62	0	36	40	1
1190	2	1	2	22	0	0	0	0	0	0	190	164	194	209	213	101	27	32	24	5	2	1	0
11667	1	1	1	54	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	1
3095	1	3	2	28	-1	-1	-1	-1	-1	-1	94	14	0	15	0	10	14	0	15	0	10	42	0
3095	2	1	1	35	-1	-1	-1	-1	-1	-1	151	8	8	0	8	0	8	8	0	8	0	0	1
476	1	2	2	31	-1	-1	-1	2	0	0	128	0	4	4	141	184	0	4	0	141	48	58	0
1905	2	2	1	34	0	0	0	0	-1	0	1874	1918	1826	814	652	682	95	56	72	674	48	48	0
6667	2	3	2	47	-1	-1	-1	-1	-1	-1	656	927	643	643	0	725	947	690	643	0	725	142	0
1905	1	2	2	30	0	0	0	0	0	0	1652	1527	1267	707	677	240	73	45	48	24	24	5	0
2619	2	1	2	26	0	0	0	0	0	0	2469	2257	2255	1994	1741	1771	83	83	71	88	297	2	0
5000	2	2	1	42	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
4762	1	1	2	26	0	0	0	0	0	0	1193	1217	1251	1256	1272	530	44	53	34	25	11	222	0
476	1	2	1	35	1	2	0	0	0	2	135	129	150	177	195	188	0	26	30	24	0	7	0
4286	2	2	1	30	0	0	0	0	0	0	203	225	256	285	283	304	29	36	34	9	24	24	0
714	2	2	1	33	3	2	2	7	7	7	57	57	57	57	57	57	0	0	0	0	0	0	1
476	2	2	2	22	1	2	2	0	0	0	374	375	368	389	244	244	24	24	29	21	17	55	1
714	2	2	2	28	2	2	2	2	2	2	460	481	467	519	527	539	36	0	60	24	24	21	0
1190	1	2	1	38	0	0	0	0	0	0	1107	1121	1134	1058	650	650	48	48	48	22	27	24	0
5476	2	2	1	36	-2	-2	-2	-2	-2	-1	5	701	546	146	155	287	701	547	147	155	288	142	1
7143	2	2	1	33	-1	-1	-1	-1	-1	0	24	36	36	36	59	48	36	36	36	59	24	36	0
1190	1	3	1	41	1	2	2	2	0	0	641	623	697	677	688	658	0	83	0	26	26	48	0
2857	2	3	3	47	-1	0	0	-2	-2	-2	38	72	0	0	10	36	36	0	0	10	36	17	0
9524	2	1	2	29	-2	-2	-2	-2	-2	-2	181	925	323	464	91	107	931	325	467	94	167	595	0
1905	1	3	1	45	0	0	2	0	0	0	194	261	250	274	294	313	71	0	29	24	24	24	1
1667	1	2	2	28	1	2	0	0	0	0	837	633	543	551	591	653	1	39	24	48	72	72	0
1429	2	2	2	23	0	0	0	0	0	0	1359	1384	1396	1420	1359	1373	63	52	49	48	49	49	1
4286	2	3	1	43	1	-1	-1	-1	-1	-1	0	62	12	12	44	270	62	12	12	44	238	9	1
3571	2	2	2	30	0	0	0	2	2	2	1471	1504	1622	1582	1746	1715	71	143	0	191	0	136	0
3333	2	2	1	58	2	2	2	2	2	2	1677	1712	1736	1722	1798	1836	76	67	29	107	71	0	1
4286	1	2	1	37	-1	-1	-1	-1	0	0	345	808	124	316	162	100	811	124	316	143	24	97	0
7381	2	2	1	39	0	0	0	0	0	0	173	160	226	212	177	289	28	107	24	7	178	59	0
5238	1	2	2	35	1	-2	-1	0	0	-1	0	0	1945	1099	79	69	0	5244	174	0	69	0	0
2857	2	3	1	49	0	0	0	0	0	0	1053	1049	1067	1064	1084	1197	48	71	48	71	167	71	0
2143	2	2	1	41	0	0	0	0	0	0	604	630	636	660	669	680	43	42	42	27	25	26	0
3095	2	3	1	45	-1	-1	-1	2	-1	-1	19	0	19	9	13	263	0	19	0	13	263	23	0
4524	1	1	1	45	0	0	0	0	0	0	4329	4107	3976	3705	3391	3184	168	143	143	238	119	119	0
11905	2	2	2	33	-2	-1	0	0	-2	-2	263	442	2002	1192	834	113	444	1791	121	121	3	39	0
4762	2	1	1	38	-2	-2	-2	-2	-2	-2	61	66	61	61	61	61	66	61	61	61	61	61	0
2381	2	2	1	43	-1	-1	-1	-1	-1	-1	38	59	41	14	13	55	59	41	14	13	55	61	0
4048	2	2	1	31	-2	-2	-2	-2	-2	-2	143	186	66	83	183	187	186	620	83	183	187	222	1
2619	1	2	1	49	0	0	0	0	0	0	1224	1233	1259	1299	1318	1348	44	46	61	55	55	41	0
1429	2	1	2	24	2	2	2	2	2	3	889	991	968	1047	1110	1085	124	0	95	83	0	0	1
3810	1	1	1	42	2	2	0	0	2	2	337	324	348	394	380	421	0	30	51	0	48	0	1
5714	2	1	2	39	0	-1	0	0	0	0	1252	5687	4723	4649	4469	4091	5687	159	179	251	124	139	0
1190	1	2	2	32	0	0	0	0	0	-1	1213	1196	90	1203	1203	35	54	24	1191	60	35	286	0
952	2	2	1	53	0	0	2	2	0	0	110	155	185	179	182	186	51	36	0	7	7	10	1
3571	2	1	2	31	0	0	0	0	0	0	3010	3069	3195	3323	3198	2488	167	296	238	119	119	238	0
1429	1	2	2	28	2	2	2	0	0	0	1470	1481	1426	1434	1380	1315	67	0	71	71	71	548	1
1429	2	2	1	35	2	2	2	2	2	2	75	133	128	161	155	188	60	0	36	0	36	0	0
8571	2	2	2	28	0	0	0	0	0	-1	1508	1395	466	397	411	6	143	95	0	48	6	286	0
1905	2	3	1	57	0	0	-2	-1	0	0	800	0	0	229	249	265	0	0	229	24	24	24	0
5476	2	2	2	23	-1	-1	2	2	-2	-1	25	52	48	0	0	19	52	0	0	0	19	0	1
1429	2	2	2	24	0	0	0	0	0	0	1379	1385	1391	1399	1430	1376	50	71	60	60	55	119	0
3095	1	1	2	48	0	0	0	0	0	0	2447	2476	2446	747	716	695	115	62	48	28	26	29	0
6667	2	2	2	27	1	2	0	0	0	0	7076	6773	6747	5668	5572	3456	0	265	174	143	143	83	0
4286	2	2	2	43	0	0	0	-2	-2	-1	115	125	24	12	42	1900	24	24	12	42	1929	86	0
2857	2	1	2	27	-1	-1	0	0	0	0	311	548	2847	2230	568	0	548	2381	83	24	0	2913	0
1429	2	2	1	24	2	0	0	0	2	0	1463	1413	1376	1484	1439	1321	68	51	168	0	76	50	1
952	2	1	2	27	0	0	-1	-1	0	0	767	926	101	2077	1730	1549	191	101	2077	71	238	103	0
1190	2	2	2	24	-1	0	-1	2	2	-2	443	475	123	49	0	0	49	124	0	0	0	249	0
7143	2	3	1	29	-1	0	0	0	0	-1	593	508	386	269	271	146	48	71	0	119	148	0	0
6190	1	2	2	30	0	0	0	2	0	0	110	140	210	202	240	261	36	95	0	48	36	24	0
1905	1	2	2	36	0	0	0	0	0	0	1409	850	809	819	699	523	72	36	48	24	24	48	0
1667	2	2	1	41	2	2	2	2	2	2	1196	1218	1191	1271	1300	1327	48	0	100	52	52	52	1
2381	2	2	1	39	2	2	0	0	0	0	1866	1851	1885	1911	1962	1834	29	81	69	83	71	145	1
8571	1	1	1	44	-1	-1	-1	-1	-1	-1	436	76	146	182	462	675	76	148	182	462	675	77	0
3333	1	2	1	28	-1	-1	-1	2	-1	-1	143	175	190	78	71	114	175	190	0	71	114	56	1
7857	1	1	1	38	-1	-1	-1	-1	-1	-1	25	16	7	25	24	25	16	7	25	24	25	20	0
1190	1	1	2	38	0	0	0	0	0	0	1205	1123	1143	1174	458	463	71	72	144	24	55	71	0
1429	2	1	2	23	0	0	0	0	0	2	315	304	347	376	458	447	36	48	36	88	0	21	0
3333	1	3	1	43	-1	0	0	0	0	0	3320	3285	3173	2337	2355	2264	131	119	83	84	83	83	1
1190	2	3	1	45	0	0	0	0	0	0	1172	1009	476	497	468	447	38	40	37	19	24	21	0
1667	2	2	2	38	0	0	0	0	0	0	538	562	586	598	610	622	33	34	21	22	22	23	0
3571	2	1	2	26	0	0	0	0	0	0	577	482	508	533	540	552	40	40	40	24	24	24	0
4286	1	1	2	26	0	0	0	0	0	0	3135	3154	3109	2341	2068	2110	119	119	81	73	83	76	0
3571	2	1	1	30	0	0	0	0	0	0	953	1127	1163	855	891	257	190	139	28	48	24	24	0
1905	2	2	2	23	0	0	0	0	0	0	1238	873	936	1035	1098	1003	159	119	119	95	71	71	0
1190	2	3	1	42	0	0	0	0	0	0	323	353	397	425	400	400	36	60	36	24	48	24	0
9286	2	4	1	40	0	0	0	0	0	0	4659	4739	4713	4666	4667	4738	182	135	132	132	140	162	0
476	2	2	2	23	2	0	0	0	0	0	387	425	449	451	467	477	52	38	16	24	21	14	1
6429	2	1	2	34	0	0	2	0	0	0	1608	1298	449	1069	464	378	96	0	810	0	0	0	0
4286	2	1	2	28	-1	-1	-1	-1	-1	0	23	104	230	68	294	217	104	230	78	332	71	438	0
476	1	3	1	36	8	7	6	5	4	3	575	568	553	538	516	501	0	0	0	0	0	0	1
5238	2	1	1	38	0	0	0	0	0	0	3244	3309	3379	3447	3516	3589	118	123	125	126	130	146	0
3095	2	2	1	29	-2	-2	-2	-2	-2	-2	35	28	66	71	48	22	28	66	71	48	22	0	0
2857	2	2	2	54	0	0	0	0	0	0	480	459	322	241	276	304	48	36	36	48	42	48	0
10000	2	2	1	46	0	0	0	0	0	0	8275	8229	8199	4815	4669	4502	322	358	167	167	167	167	0
3810	2	2	2	24	0	0	0	0	0	0	310	3779	3710	2337	2358	2404	3690	119	119	84	119	95	0
4286	2	2	1	60	2	2	2	0	0	0	4258	4218	4226	4195	4052	3325	62	120	119	143	167	143	1
4286	1	1	1	42	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
2143	2	2	2	23	-1	-1	0	0	0	0	19	404	444	303	309	315	404	48	12	10	10	24	0
8571	2	2	1	42	-1	0	0	0	0	-1	1530	1087	449	184	133	3140	56	109	52	24	3140	92	0
3333	2	2	2	49	-2	-2	-2	-2	-2	-2	31	9	0	90	0	21	9	0	90	0	21	20	1
4762	2	2	1	35	-2	-2	-2	-2	-2	-2	72	94	163	31	142	46	94	164	31	142	46	301	0
2143	2	1	2	23	0	0	0	0	2	0	1437	1377	1416	1628	1591	1649	71	62	238	0	83	95	0
1190	2	2	1	31	0	0	0	0	0	0	1119	1148	1181	1104	221	229	48	52	27	12	12	9	1
476	1	3	3	59	2	0	0	0	0	0	364	388	413	430	447	483	38	38	31	24	48	0	1
3333	1	2	2	55	0	0	0	0	0	0	3868	3906	3364	2360	2419	2412	119	3333	95	95	95	95	0
7143	2	1	1	51	0	0	0	0	-2	-2	3408	3513	3546	0	0	0	197	162	0	0	0	0	0
1905	2	2	1	52	1	2	2	2	2	0	1974	1927	1906	1766	1619	1382	0	167	95	0	71	71	0
1905	2	1	1	42	2	2	2	2	2	2	438	461	487	491	500	489	38	40	19	24	0	48	1
1190	1	2	2	47	0	0	0	0	0	0	893	857	873	398	406	415	43	48	15	15	15	24	0
1190	2	3	1	49	0	0	-2	-2	-2	-2	865	0	0	0	0	0	0	0	0	0	0	0	0
